scientificName,vernacularName,kingdom,phylum,class,order,family,genus,eventDate,year,month,day,decimalLatitude,decimalLongitude,dataResourceName,dataGeneralizations,habitat,occurrenceRemarks,basisOfRecord,individualCount,class_display,class_description,at_risk_status,habitat_type
Nyctophilus geoffroyi,Lesser Long-eared Bat,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Nyctophilus,2008-02-13 00:00:00,2008.0,2.0,13.0,-36.558435,149.429256,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,4.0,Mammalia – Chiroptera,bats,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.554454,149.396623,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,3.0,Mammalia – other,other mammals,,
Macropus giganteus,Eastern Grey Kangaroo,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Macropus,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.55868,149.397144,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.55083,149.413211,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,2026-01-02 00:00:00,2026.0,1.0,2.0,-36.558252,149.40188,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.555516,149.397605,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.545974,149.417081,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.558725,149.397146,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.554421,149.396007,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.554421,149.396007,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Macropus giganteus,Eastern Grey Kangaroo,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Macropus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.55083,149.413211,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.554454,149.396623,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,3.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.549934,149.41296,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1900-01-01 00:00:00,,,,-36.556637,149.397863,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.554454,149.396623,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.554454,149.396623,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.554421,149.396007,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.554421,149.396007,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,2008-02-18 00:00:00,2008.0,2.0,18.0,-36.554979,149.42412,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.560472,149.402115,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,3.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.545974,149.417081,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.554421,149.396007,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.554454,149.396623,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petaurus breviceps,Sugar Glider,Animalia,Chordata,Mammalia,Diprotodontia,Petauridae,Petaurus,1900-01-01 00:00:00,,,,-36.551218,149.420707,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,2026-01-07 00:00:00,2026.0,1.0,7.0,-36.547166,149.419398,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
