scientificName,vernacularName,class,order,family,eventDate
Sericornis (Sericornis) frontalis,White-browed Scrubwren,Aves,Passeriformes,Acanthizidae,11/03/2014
Sericornis (Sericornis) frontalis,White-browed Scrubwren,Aves,Passeriformes,Acanthizidae,20/12/2025
Platycercus (Platycercus) elegans,Crimson Rosella,Aves,Psittaciformes,Psittacidae,11/03/2014
Platycercus (Platycercus) elegans,Crimson Rosella,Aves,Psittaciformes,Psittacidae,23/12/2025
Ninox (Ninox) novaeseelandiae,Southern Boobook,Aves,Strigiformes,Strigidae,12/02/2008
Ninox (Ninox) novaeseelandiae,Southern Boobook,Aves,Strigiformes,Strigidae,13/02/2008
Ninox (Ninox) novaeseelandiae,Southern Boobook,Aves,Strigiformes,Strigidae,11/03/2014
Ninox (Ninox) novaeseelandiae,Southern Boobook,Aves,Strigiformes,Strigidae,19/12/2024
Ninox (Rhabdoglaux) strenua,Powerful Owl,Aves,Strigiformes,Strigidae,1/03/1992
Ninox (Rhabdoglaux) strenua,Powerful Owl,Aves,Strigiformes,Strigidae,12/04/1992
Oreixenica orichora,Orichora Brown,Insecta,Lepidoptera,Nymphalidae,16/12/2025
Oreixenica orichora,Orichora Brown,Insecta,Lepidoptera,Nymphalidae,23/12/2025
Pasma tasmanica,Tasmanica Skipper,Insecta,Lepidoptera,Hesperiidae,14/12/2025
Pasma tasmanica,Tasmanica Skipper,Insecta,Lepidoptera,Hesperiidae,16/12/2025
Scieropepla serina,Concealer Moth,Insecta,Lepidoptera,Yloryctidae,15/12/1969
Scieropepla serina,Concealer Moth,Insecta,Lepidoptera,Yloryctidae,24/12/1969
Scieropepla serina,Concealer Moth,Insecta,Lepidoptera,Yloryctidae,24/12/1969
Scieropepla serina,Concealer Moth,Insecta,Lepidoptera,Yloryctidae,1/01/1970
Scieropepla serina,Concealer Moth,Insecta,Lepidoptera,Yloryctidae,1/01/1970
Scieropepla serina,Concealer Moth,Insecta,Lepidoptera,Yloryctidae,6/01/1970
Scieropepla serina,Concealer Moth,Insecta,Lepidoptera,Yloryctidae,6/01/1970
Scieropepla serina,Concealer Moth,Insecta,Lepidoptera,Yloryctidae,19/01/1970
Scieropepla serina,Concealer Moth,Insecta,Lepidoptera,Yloryctidae,19/01/1970
Scieropepla serina,Concealer Moth,Insecta,Lepidoptera,Yloryctidae,19/01/1970
Eusynthemis guttata,Southern Tigertail,Insecta,Odonata,Synthemistidae,23/12/2025
Eusynthemis guttata,Southern Tigertail,Insecta,Odonata,Synthemistidae,23/12/2025
Hemicordulia tau,Tau Emerald,Insecta,Odonata,Corduliidae,23/12/2025
Hemicordulia tau,Tau Emerald,Insecta,Odonata,Corduliidae,23/12/2025
Bos (Bos) taurus,European Cattle,Mammalia,Artiodactyla,Bovidae,1/01/1900
Bos (Bos) taurus,European Cattle,Mammalia,Artiodactyla,Bovidae,1/01/1900
Bos (Bos) taurus,European Cattle,Mammalia,Artiodactyla,Bovidae,1/01/1900
Bos (Bos) taurus,European Cattle,Mammalia,Artiodactyla,Bovidae,15/08/1994
Bos (Bos) taurus,European Cattle,Mammalia,Artiodactyla,Bovidae,15/08/1994
Bos (Bos) taurus,European Cattle,Mammalia,Artiodactyla,Bovidae,5/09/1994
Bos (Bos) taurus,European Cattle,Mammalia,Artiodactyla,Bovidae,5/09/1994
Bos (Bos) taurus,European Cattle,Mammalia,Artiodactyla,Bovidae,5/09/1994
Bos (Bos) taurus,European Cattle,Mammalia,Artiodactyla,Bovidae,5/09/1994
Bos (Bos) taurus,European Cattle,Mammalia,Artiodactyla,Bovidae,5/09/1994
Bos (Bos) taurus,European Cattle,Mammalia,Artiodactyla,Bovidae,5/09/1994
Bos (Bos) taurus,European Cattle,Mammalia,Artiodactyla,Bovidae,5/09/1994
Bos (Bos) taurus,European Cattle,Mammalia,Artiodactyla,Bovidae,5/09/1994
Bos (Bos) taurus,European Cattle,Mammalia,Artiodactyla,Bovidae,5/09/1994
Bos (Bos) taurus,European Cattle,Mammalia,Artiodactyla,Bovidae,5/09/1994
Bos (Bos) taurus,European Cattle,Mammalia,Artiodactyla,Bovidae,5/09/1994
Bos (Bos) taurus,European Cattle,Mammalia,Artiodactyla,Bovidae,5/09/1994
Bos (Bos) taurus,European Cattle,Mammalia,Artiodactyla,Bovidae,5/09/1994
Bos (Bos) taurus,European Cattle,Mammalia,Artiodactyla,Bovidae,5/09/1994
Bos (Bos) taurus,European Cattle,Mammalia,Artiodactyla,Bovidae,5/09/1994
Bos (Bos) taurus,European Cattle,Mammalia,Artiodactyla,Bovidae,5/09/1994
Bos (Bos) taurus,European Cattle,Mammalia,Artiodactyla,Bovidae,5/09/1994
